Prep	Cast	Spell	Sch	Sub	Descriptor	Comp	Cast	Range	Target/Effect	Duration	Save	SR	Description	Book	pg	B	C	D	P	R	W	O
		Shield of Law	abj		lawful	V,S,F	1std	20 ft	one creature/level in a 20-ft-radius burst centered on you	1 rd/lvl (d)	see text	y (h/l)	+4 to AC, +4 resistance, and SR 25 against chaotic spells.	PHB	278		8					
		Shield Other	abj			V,S,F	1std	close	one creature	1 hr/lvl (d)	will neg (h/l)	y (h/l)	You take half of subjects damage.	PHB	278		2		2			
		Shillelagh	tran			V,S,DF	1std	touch	one touched nonmagical oak club or quarterstaff	1 min/lvl	will neg (obj)	y (obj)	Cudgel or quarterstaff becomes +1 weapon (1d10 damage) for 1 min./level.	PHB	278			1				
		Shocking Grasp	evo		electricity	V,S	1std	touch	creature or obj touched	instant	-	y	Touch delivers 1d6/level electricity damage (max 5d6).	PHB	279						1	
		Shout	evo		sonic	V	1std	30 ft	cone-shaped burst	instant	fort part or ref neg (obj); see text	y (obj)	Deafens all within cone and deals 5d6 sonic damage.	PHB	279	4					4	
		Shout, Greater	evo		sonic	V,S,F	1std	60 ft	cone-shaped burst	instant	fort part or ref neg (obj); see text	y (obj)	Devastating yell deals 10d6 sonic damage; stuns creatures, damages objects.	PHB	279	6					8	
		Shrink Item	tran			V,S	1std	touch	one touched obj of up to 2 cu. ft/level	1 day/lvl; see text	will neg (obj)	y (obj)	Object shrinks to one-sixteenth size.	PHB	279						3	
		Silence	ill	glamer		V,S	1std	long	20-ft-radius emanation centered on a creature, obj, or point in space	1 min/lvl (d)	will neg; see text or none (obj)	y; see text or no (obj)	neg sound in 15-ft. radius.	PHB	279	2	2					
		Silent Image	ill	figment		V,S,F	1std	long	visual figment that cannot extend beyond four 10-ft cubes + one 10-ft cube/level (s)	(c)	will disbelief (if interacted with)	n	Creates minor illusion of your design.	PHB	279	1					1	
		Simulacrum	ill	shadow		V,S,M,XP	12hrs	0 ft	one duplicate creature	instant	-	n	Creates partially real double of a creature.	PHB	279						7	
		Slay Living	nec		death, ectomancy	V,S	1std	touch	living creature touched	instant	fort part	y	Touch attack kills subject.	PHB	280		5					
		Sleep	ench	compulsion	mind-affecting	V,S,M	1rd	med	one or more living creatures within a 10-ft-radius burst	1 min/lvl	will neg	y	Puts 4 HD of creatures into magical slumber.	PHB	280	1					1	
		Sleet Storm	con	creation	cold	V,S,M/DF	1std	long	cylinder (40-ft radius, 20 ft high)	1 rd/lvl	-	n	Hampers vision and movement.	PHB	280			3			3	
		Slow	tran			V,S,M	1std	close	one creature/level, no two of which can be more than 30 ft apart	1 rd/lvl	will neg	y	One subject/level takes only one action/round, 2 to AC and attack rolls.	PHB	280	3					3	
		Snare	tran			V,S,DF	3rds	touch	touched nonmagical circle of vine, rope, or thong with a 2 ft diameter + 2 ft/level	until triggered or broken	-	n	Creates a magic booby trap.	PHB	280			3		2		
		Soften Earth and Stone	tran		earth	V,S,DF	1std	close	10-ft square/level; see text	instant	-	n	Turns stone to clay or dirt to sand or mud.	PHB	280			2				
		Solid Fog	con	creation		V,S,M	1std	med	fog spreads in 20-ft radius, 20 ft high	1 min/lvl	-	n	Blocks vision and slows movement.	PHB	281						4	
		Song of Discord	ench	compulsion	mind-affecting, sonic	V,S	1std	med	creatures within a 20-ft-radius spread	1 rd/lvl	will neg	y	Forces targets to attack each other.	PHB	281	5						
		Soul Bind	nec		ectomancy	V,S,F	1std	close	corpse	perm	will neg	n	Traps newly dead soul to prevent resurrection.	PHB	281		9				9	
		Sound Burst	evo		sonic	V,S,F/DF	1std	close	10-ft-radius spread	instant	fort part	y	Deals 1d8 sonic damage to subjects; may stun them.	PHB	281	2	2					
		Speak with Animals	div			V,S	1std	personal	you	1 min/lvl			You can communicate with animals.	PHB	281	3		1		1		
		Speak with Dead	nec		language-dependent	V,S,DF	10min	10 ft	one dead creature	1 min/lvl	will neg; see text	n	Corpse answers one question/two levels.	PHB	281		3					
		Speak with Plants	div			V,S	1std	personal	you	1 min/lvl			You can talk to normal plants and plant creatures.	PHB	282	4		3		2		
		Spectral Hand	nec			V,S	1std	med	one spectral hand	1 min/lvl (d)	-	n	Creates disembodied glowing hand to deliver touch attacks.	PHB	282						2	
		Spell Immunity	abj			V,S,DF	1std	touch	creature touched	10 min/lvl	will neg (h/l)	y (h/l)	Subject is immune to one spell per four levels.	PHB	282		4					
		Spell Immunity, Greater	abj			V,S,DF	1std	touch	creature touched	10 min/lvl	will neg (h/l)	y (h/l)	As spell immunity, but up to 8th-level spells.	PHB	282		8					
		Spell Resistance	abj			V,S,DF	1std	touch	creature touched	1 min/lvl	will neg (h/l)	y (h/l)	Subject gains SR 12 + level.	PHB	282		5					
		Spell Turning	abj			V,S,M/DF	1std	personal	you	10 min/lvl or until expended			Reflect 1d4+6 spell levels back at caster.	PHB	282						7	
		Spellstaff	tran			V,S,F	10min	touch	wooden quarterstaff touched	perm until dis (d)	will neg (obj)	y (obj)	Stores one spell in wooden quarterstaff.	PHB	282			6				
		Spider Climb	tran			V,S,M	1std	touch	creature touched	10 min/lvl	will neg (h/l)	y (h/l)	Grants ability to walk on walls and ceilings.	PHB	283			2			2	
		Spike Growth	tran			V,S,DF	1std	med	one 20-ft square/level	1 hr/lvl (d)	ref part	y	Creatures in area take 1d4 damage, may be slowed.	PHB	283			3		2		
		Spike Stones	tran		earth	V,S,DF	1std	med	one 20-ft square/level	1 hr/lvl (d)	ref part	y	Creatures in area take 1d8 damage, may be lowed.	PHB	283			4				
		Spiritual Weapon	evo		force	V,S,DF	1std	med	magic weapon of force	1 rd/lvl (d)	-	y	Magic weapon attacks on its own.	PHB	283		2					
		Statue	tran			V,S,M	1rd	touch	creature touched	1 hr/lvl (d)	will neg (h/l)	y (h/l)	Subject can become a statue at will.	PHB	284						7	
		Status	div			V,S	1std	touch	one living creature touched per three levels	1 hr/lvl	will neg (h/l)	y (h/l)	Monitors condition, position of allies.	PHB	284		2					
		Stinking Cloud	con	creation		V,S,M	1std	med	cloud spreads in 20-ft radius, 20 ft high	1 rd/lvl	fort neg; see text	n	Nauseating vapors, 1 round/level.	PHB	284						3	
		Stone Shape	tran		earth	V,S,M/DF	1std	touch	stone or stone obj touched, up to 10 cu. ft + 1 cu. ft/level	instant	-	n	Sculpts stone into any shape.	PHB	284		3	3			4	
		Stone Tell	div			V,S,DF	10min	personal	you	1 min/lvl			Talk to natural or worked stone.	PHB	284			6				
		Stone to Flesh	tran			V,S,M	1std	med	one petrified creature or a cylinder of stone from 1 ft to 3 ft in diameter and up to 10 ft long	instant	fort neg (obj); see text	y	Restores petrified creature.	PHB	285						6	
		Stoneskin	abj			V,S,M	1std	touch	creature touched	10 min/lvl or until dis	will neg (h/l)	y (h/l)	Ignore 10 points of damage per attack.	PHB	284			5			4	
		Storm of Vengeance	con	summoning		V,S	1rd	long	360-ft-radius storm cloud	(c) (maximum 10 rds) (d)	see text	y	Storm rains acid, lightning, and hail.	PHB	285		9	9				
		Suggestion	ench	compulsion	language-dependent, mind-affecting	V,M	1std	close	one living creature	1 hr/lvl or until completed	will neg	y	Compels subject to follow stated course of action.	PHB	285	2					3	
		Suggestion, Mass	ench	compulsion	language-dependent, mind-affecting	V,M	1std	med	one creature/level, no two of which can be more than 30 ft apart	1 hr/lvl or until completed	will neg	y	As suggestion, plus one subject/level.	PHB	285	5					6	
		Summon Instrument	con	summoning		V,S	1rd	0 ft	one summoned handheld musical instrument	1 min/lvl (d)	-	n	Summons one instrument of the casters choice.	PHB	285	0						
		Summon Monster I	con	summoning	varies	V,S,F/DF	1rd	close	one summoned creature	1 rd/lvl (d)	-	n	Calls extraplanar creature to fight for you.	PHB	285	1	1				1	
		Summon Monster II	con	summoning		V,S,F/DF	1rd	close	one or more summoned creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls extraplanar creature to fight for you.	PHB	286	2	2				2	
		Summon Monster III	con	summoning		V,S,F/DF	1rd	close	one or more summoned creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls extraplanar creature to fight for you.	PHB	286	3	3				3	
		Summon Monster IV	con	summoning		V,S,F/DF	1rd	close	one or more summoned creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls extraplanar creature to fight for you.	PHB	286	4	4				4	
		Summon Monster IX	con	summoning		V,S,F/DF	1rd	close	one or more summoned creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls extraplanar creature to fight for you.	PHB	288		9				9	
		Summon Monster V	con	summoning		V,S,F/DF	1rd	close	one or more summoned creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls extraplanar creature to fight for you.	PHB	286	5	5				5	
		Summon Monster VI	con	summoning		V,S,F/DF	1rd	close	one or more summoned creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls extraplanar creature to fight for you.	PHB	287	6	6				6	
		Summon Monster VII	con	summoning		V,S,F/DF	1rd	close	one or more summoned creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls extraplanar creature to fight for you.	PHB	287		7				7	
		Summon Monster VIII	con	summoning		V,S,F/DF	1rd	close	one or more summoned creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls extraplanar creature to fight for you.	PHB	287		8				8	
		Summon Nature's Ally I	con	summoning		V,S,DF	1rd	close	one summoned creature	1 rd/lvl (d)	-	n	Calls creature to fight.	PHB	288			1		1		
		Summon Nature's Ally II	con	summoning		V,S,DF	1rd	close	one or more creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls creature to fight.	PHB	288			2		2		
		Summon Nature's Ally III	con	summoning		V,S,DF	1rd	close	one or more creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls creature to fight.	PHB	288			3		3		
		Summon Nature's Ally IV	con	summoning		V,S,DF	1rd	close	one or more creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls creature to fight.	PHB	288			4		4		
		Summon Nature's Ally IX	con	summoning		V,S,DF	1rd	close	one or more creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls creature to fight.	PHB	289			9				
		Summon Nature's Ally V	con	summoning		V,S,DF	1rd	close	one or more creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls creature to fight.	PHB	289			5				
		Summon Nature's Ally VI	con	summoning		V,S,DF	1rd	close	one or more creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls creature to fight.	PHB	289			6				
		Summon Nature's Ally VII	con	summoning		V,S,DF	1rd	close	one or more creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls creature to fight.	PHB	289			7				
		Summon Nature's Ally VIII	con	summoning		V,S,DF	1rd	close	one or more creatures, no two of which can be more than 30 ft apart	1 rd/lvl (d)	-	n	Calls creature to fight.	PHB	289			8				
		Summon Swarm	con	summoning		V,S,M/DF	1rd	close	one swarm of bats, rats, or spiders	(c) + 2 rds	-	n	Summons swarm of bats, rats, or spiders.	PHB	289	2		2			2	
		Sunbeam	evo		light	V,S,DF	1std	60 ft	line from your hand	1 rd/lvl or until all beams are exhausted	ref neg & ref ½; see text	y	Beam blinds and deals 4d6 damage.	PHB	289			7				
		Sunburst	evo		light	V,S,M/DF	1std	long	80-ft-radius burst	instant	ref part; see text	y	Blinds all within 10 ft., deals 6d6 damage.	PHB	289			8			8	
		Surelife	abj			V,S,M	1rd	personal	you	1 min/lvl			Protects you from one kind of certain death.	PHB								
		Symbol of Death	nec		death, ectomancy	V,S,M	10min	0 ft; see text	one symbol	see text	fort neg	y	Triggered rune slays nearby creatures.	PHB	289		8				8	
		Symbol of Fear	nec		fear, mind-affecting	V,S,M	10min	0 ft; see text	one symbol	see text	will neg	y	Triggered rune panics nearby creatures.	PHB	290		6				6	
		Symbol of Insanity	ench	compulsion	mind-affecting	V,S,M	10min	0 ft; see text	one symbol	see text	will neg	y	Triggered rune renders nearby creatures insane.	PHB	290		8				8	
		Symbol of Pain	nec		evil	V,S,M	10min	0 ft; see text	one symbol	see text	fort neg	y	Triggered rune wracks nearby creatures with pain.	PHB	290		5				5	
		Symbol of Persuasion	ench	charm	mind-affecting	V,S,M	10min	0 ft; see text	one symbol	see text	will neg	y	Triggered rune acts as charm monster on nearby creatures.	PHB	290		6				6	
		Symbol of Sleep	ench	compulsion	mind-affecting	V,S,M	10min	0 ft; see text	one symbol	see text	will neg	y	Triggered rune puts nearby creatures into catatonic slumber.	PHB	291		5				5	
		Symbol of Stunning	ench	compulsion	mind-affecting	V,S,M	10min	0 ft; see text	one symbol	see text	will neg	y	Triggered rune stuns nearby creatures.	PHB	291		7				7	
		Symbol of Weakness	nec			V,S,M	10min	0 ft; see text	one symbol	see text	fort neg	y	Triggered rune weakens nearby creatures.	PHB	291		7				7	
		Sympathetic Vibration	evo		sonic	V,S,F	10min	touch	one freestanding structure	up to 1 rd/lvl	-; see text	y	Deals 2d10 damage/round to freestanding structure.	PHB	291	6						
		Sympathy	ench	compulsion	mind-affecting	V,S,M	1hr	close	one location (up to a 10-ft cube/level) or one obj	2 hrs/lvl (d)	will neg; see text	y	Object or location attracts certain creatures.	PHB	292			9			8	
		Tasha's Hideous Laughter	ench	compulsion	mind-affecting	V,S,M	1std	close	one creature; see text	1 rd/lvl	will neg	y	Subject loses actions for 1 round/level.	PHB	292	1					2	
		Telekinesis	tran			V,S	1std	long	see text	(c) (≤ 1 rd/lvl) or instant; see text	will neg (obj) or -; see text	y (obj); see text	Moves object, attacks creature, or hurls object or creature.	PHB	292						5	
		Telepathic Bond, Lesser	div		mind-affecting	V,S	1std	30 ft	you and one willing creature within 30 ft	10 min/lvl	-	n	As telepathic bond, but you and one other creature.	PHB			3				3	
		Teleport	con	teleportation		V	1std	personal and touch	you and touched objs or other touched willing creatures	instant	- & will neg (obj)	n and y (obj)	Instantly transports you as far as 100 miles/level.	PHB	292						5	
		Teleport Object	con	teleportation		V	1std	personal and touch	one touched obj of up to 50 lb/level and 3 cu. ft/level	instant	will neg (obj)	y (obj)	As teleport, but affects a touched object.	PHB	293						7	
		Teleport, Greater	con	teleportation		V	1std	personal and touch	you and touched objs or other touched willing creatures	instant	- & will neg (obj)	n and y (obj)	As teleport, but no range limit and no off-target arrival.	PHB	293						7	
		Teleportation Circle	con	teleportation		V,M	10min	0 ft	5-ft-radius circle that teleports those who activate it	10 min/lvl (d)	-	y	Circle teleports any creature inside to designated spot.	PHB	293						9	
		Temporal Stasis	tran			V,S,M	1std	touch	creature touched	perm	fort neg	y	Puts subject into suspended animation.	PHB	293						8	
		Tenser's Floating Disk	evo		force	V,S,M	1std	close	3-ft-diameter disk of force	1 hr/lvl	-	n	Creates 3-ft.-diameter horizontal disk that holds 100 lb./level.	PHB	294						1	
		Tenser's Transformation	tran			V,S,M	1std	personal	you	1 rd/lvl			You gain combat bonuses.	PHB	294						6	
		Time Stop	tran			V	1std	personal	you	1d4+1 rds (apparent time); see text			You act freely for 1d4+1 rounds.	PHB	294						9	
		Tongues	div			V,M/DF	1std	touch	creature touched	10 min/lvl	will neg (h/l)	n	Speak any language.	PHB	294	2	4				3	
		Touch of Fatigue	nec		negative	V,S,M	1std	touch	creature touched	1 rd/lvl	fort neg	y	Touch attack fatigues target.	PHB	294						0	
		Touch of Idiocy	ench	compulsion	mind-affecting	V,S	1std	touch	living creature touched	10 min/lvl	-	y	Subject takes 1d6 points of Int, Wis, and Cha damage.	PHB	294						2	
		Touch of Madness	ench		mind-affecting	V,S	1std	touch	creature touched	1 rd/lvl	will neg	y	Dazes one creature for 1 round/level.	PHB								
		Transmute Metal to Wood	tran			V,S,DF	1std	long	all metal objs within a 40-ft-radius burst	instant	-	y (obj); see text	Metal within 40 ft. becomes wood.	PHB	294			7				
		Transmute Mud to Rock	tran		earth	V,S,M/DF	1std	med	up to two 10-ft cubes/level (s)	perm	see text	n	Transforms two 10-ft. cubes per level.	PHB	295			5			5	
		Transmute Rock to Mud	tran		earth	V,S,M/DF	1std	med	up to two 10-ft cubes/level (s)	perm; see text	see text	n	Transforms two 10-ft. cubes per level.	PHB	295			5			5	
		Transport via Plants	con	teleportation		V,S	1std	unlimited	you and touched objs or other touched willing creatures	1 rd	-	n	Move instantly from one plant to another of the same kind.	PHB	295			6				
		Trap the Soul	con	summoning	ectomancy	V,S,M,F,text	1stdorseetext	close	one creature	perm; see text	see text	y; see text	Imprisons subject within gem.	PHB	295						8	
		Tree Shape	tran			V,S,DF	1std	personal	you	1 hr/lvl (d)			You look exactly like a tree for 1 hour/level.	PHB	296			2		3		
		Tree Stride	con	teleportation		V,S,DF	1std	personal	you	1 hr/lvl or until expended; see text			Step from one tree to another far away.	PHB	296			5		4		
		True Resurrection	con	healing	ectomancy	V,S,M,DF	10min	touch	dead creature	instant	-; see text	y (h/l)	As resurrection, plus remains aren't needed.	PHB	296		9					
		True Seeing	div			V,S,M	1std	touch	creature touched	1 min/lvl	will neg (h/l)	y (h/l)	Lets you see all things as they really are.	PHB	296		5	7			6	
		True Strike	div			V,F	1std	personal	you	see text			+20 on your next attack roll.	PHB	296						1	
		Undeath to Death	nec			V,S,M/DF	1std	med	several undead creatures within a 40-ft-radius burst	instant	will neg	y	Destroys 1d4 HD/level undead (max 20d4).	PHB	297		6				6	
		Undetectable Alignment	abj			V,S	1std	close	one creature or obj	1 day	will neg (obj)	y (obj)	Conceals alignment for 24 hours.	PHB	297	1	2		2			
		Unhallow	evo		evil	V,S,M	1day	touch	40-ft radius emanating from the touched point	instant	see text	see text	Designates location as unholy.	PHB	297		5	5				
		Unholy Aura	abj		evil	V,S,F	1std	20 ft	one creature/level in a 20-ft-radius burst centered on you	1 rd/lvl (d)	see text	y (h/l)	+4 to AC, +4 resistance, and SR 25 against good spells.	PHB	297		8					
		Unholy Blight	evo		evil	V,S	1std	med	20-ft-radius spread	instant (1d4 rds); see text	will part	y	Damages and sickens good creatures.	PHB	297							
		Unseen Servant	con	creation		V,S,M	1std	close	one invisible, mindless, shapeless servant	1 hr/lvl	-	n	Invisible force obeys your commands.	PHB	297	1					1	
		Vampiric Touch	nec			V,S	1std	touch	living creature touched	instant/1 hr; see text	-	y	Touch deals 1d6/two levels damage; caster gains damage as hp.	PHB	298						3	
		Veil	ill	glamer		V,S	1std	long	one or more creatures, no two of which can be more than 30 ft apart	(c) + 1 hr/lvl (d)	will neg; see text	y; see text	Changes appearance of group of creatures.	PHB	298	6					6	
		Ventriloquism	ill	figment		V,F	1std	close	intelligible sound, usually speech	1 min/lvl (d)	will disbelief (if interacted with)	n	Throws voice for 1 min./level.	PHB	298	1					1	
		Virtue	tran			V,S,DF	1std	touch	creature touched	1 min	fort neg (h/l)	y (h/l)	Subject gains 1 temporary hp.	PHB	298		0	0	1			
		Vision	div			V,S,M,XP	1std	personal	you	see text			As legend lore, but quicker and strenuous.	PHB	298						7	
		Wail of the Banshee	nec		sonic, death, ectomancy	V	1std	close	one living creature/level within a 40-ft-radius spread	instant	fort neg	y	Kills one creature/level.	PHB	298						9	
		Wall of Fire	evo		fire	V,S,M/DF	1std	med	opaque sheet of flame up to 20 ft long/level or a ring of fire with a radius of up to 5 ft per two levels; either form 20 ft high	(c) + 1 rd/lvl	-	y	Deals 2d4 fire damage out to 10 ft. and 1d4 out to 20 ft. Passing through wall deals 2d6 damage +1/level.	PHB	298			5			4	
		Wall of Force	evo		force	V,S,M	1std	close	wall whose area is up to one 10-ft square/level	1 rd/lvl (d)	-	n	Wall is immune to damage.	PHB	298						5	
		Wall of Ice	evo		cold	V,S,M/DF	1std	med	anchored plane of ice, up to one 10-ft square/level, or hemisphere of ice with a radius of up to 3 ft + 1 ft/level	1 min/lvl	ref neg; see text	y	Ice plane creates wall with 15 hp +1/level, or hemisphere can trap creatures inside.	PHB	299						4	
		Wall of Iron	con	creation		V,S,M	1std	med	iron wall whose area is up to one 5-ft square/level; see text	instant	see text	n	30 hp/four levels; can topple onto foes.	PHB	299						6	
		Wall of Stone	con	creation	earth	V,S,M/DF	1std	med	stone wall whose area is up to one 5-ft square/level (s)	instant	see text	n	Creates a stone wall that can be shaped.	PHB	299		5	6			5	
		Wall of Thorns	con	creation		V,S	1std	med	wall of thorny brush, up to one 10-ft cube/level (s)	10 min/lvl (d)	-	n	Thorns damage anyone who tries to pass.	PHB	300			5				
		Warp Wood	tran			V,S	1std	close	1 small wooden obj/level, all within a 20-ft radius	instant	will neg (obj)	y (obj)	Bends wood (shaft, handle, door, plank).	PHB	300			2				
		Water Breathing	tran			V,S,M/DF	1std	touch	living creatures touched	2 hrs/lvl; see text	will neg (h/l)	y (h/l)	Subjects can breathe underwater.	PHB	300		3	3			3	
		Water Walk	tran		water	V,S,DF	1std	touch	one touched creature/level	10 min/lvl (d)	will neg (h/l)	y (h/l)	Subject treads on water as if solid.	PHB	300		3			3		
		Waves of Exhaustion	nec		negative	V,S	1std	60 ft	cone-shaped burst	instant	-	y	Several targets become exhausted.	PHB	301						7	
		Waves of Fatigue	nec		negative	V,S	1std	30 ft	cone-shaped burst	instant	-	y	Several targets become fatigued.	PHB	301						5	
		Web	con	creation		V,S,M	1std	med	webs in a 20-ft-radius spread	10 min/lvl (d)	ref neg; see text	n	Fills 20-ft.-radius spread with sticky spiderwebs.	PHB	301						2	
		Weird	ill	phantasm	fear, mind-affecting	V,S	1std	med	any number of creatures, no two of which can be more than 30 ft apart	instant	will disbelief (if interacted with), then fort part; see text	y	As phantasmal killer, but affects all within 30 ft.	PHB	301						9	
		Whirlwind	evo		air	V,S,DF	1std	long	cyclone 10 ft wide at base, 30 ft wide at top, and 30 ft tall	1 rd/lvl (d)	ref neg; see text	y	Cyclone deals damage and can pick up creatures.	PHB	301			8				
		Whispering Wind	tran		air	V,S	1std	1 mi/level	10-ft-radius spread	no more than 1 hr/lvl or until dis (destination is reached)	-	n	Sends a short message 1 mile/level.	PHB	301	2					2	
		Wind Walk	tran		air	V,S,DF	1std	touch	you and one touched creature per three levels	1 hr/lvl (d); see text	- & will neg (h/l)	n and y (h/l)	You and your allies turn vaporous and travel fast.	PHB	302		6	7				
		Wind Wall	evo		air	V,S,M/DF	1std	med	wall up to 10 ft/level long and 5 ft/level high (s)	1 rd/lvl	-; see text	y	Deflects arrows, smaller creatures, and gases.	PHB	302		3	3		2	3	
		Wish	uni			V,XP	1std	see text	see text	see text	see text	y	As limited wish, but with fewer limits.	PHB	302						9	
		Wood Shape	tran			V,S,DF	1std	touch	one touched piece of wood no larger than 10 cu. ft + 1 cu. ft/level	instant	will neg (obj)	y (obj)	Rearranges wooden objects to suit you.	PHB	303			2				
		Word of Chaos	evo		chaotic, sonic	V	1std	40 ft	nonchaotic creatures in a 40-ft- radius spread centered on you	instant	- or will neg; see text	y	Kills, confuses, stuns, or deafens nonchaotic subjects.	PHB	303		7					
		Word of Recall	con	teleportation		V	1std	unlimited	you and touched objs or other willing creatures	instant	- or will neg (h/l, obj)	n or y (h/l, obj)	Teleports you back to designated place.	PHB	303		6	8				
		Zone of Silence	ill	glamer		V,S	1rd	personal	5-ft-radius emanation centered on you	1 hr/lvl (d)	-	n	Keeps eavesdroppers from overhearing conversations.	PHB	303	4						
		Zone of Truth	ench	compulsion	mind-affecting	V,S,DF	1std	close	20-ft-radius emanation	1 min/lvl	will neg	y	Subjects within range cannot lie.	PHB	303		2		2			
