School	Name	Casting Time	Range	Components	Duration	Target	Saving Throw	 Spell Resistance	Level	Description	Print?
tran	Statue	1 Round	touch	V,S,M	1 hr/lvl (d)	creature touched	will negates (h/l)	Yes, Harmless	 Sor/Wiz 7	A statue spell turns the subject to solid stone, along with any garments and equipment worn or carried. In statue form, the subject gains hardness 8. The subject retains its own hit points.@mynl@The subject can see, hear, and smell normally, but it does not need to eat or breathe. Feeling is limited to those sensations that can affect the granite-hard substance of the individual's body. Chipping is equal to a mere scratch, but breaking off one of the statue's arms constitutes serious damage.@mynl@The subject of a statue spell can return to its normal state, act, and then return instantly to the statue state (a free action) if it so desires, as long as the spell duration is in effect.@mynl@Material Component: Lime, sand, and a drop of water stirred by an iron bar, such as a nail or spike.	true	Subject can become a statue at will.
div	Status	1 Standa Round action	touch	V,S	1 hr/lvl	one living creature touched per three levels	will negates (h/l)	Yes, Harmless	 Clr 2	When you need to keep track of comrades who may get separated, status allows you to mentally monitor their relative positions and general condition. You are aware of direction and distance to the creatures and any conditions affecting them: unharmed, wounded, disabled, staggered, unconscious, dying, nauseated, panicked, stunned, poisoned, diseased, confused, or the like. Once the spell has been cast upon the subjects, the distance between them and the caster does not affect the spell as long as they are on the same plane of existence. If a subject leaves the plane, or if it dies, the spell ceases to function for it.	true	Monitors condition, position of allies.
con	Stinking Cloud	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S,M	1  Round/lvl	cloud spreads in 20-ft radius, 20 ft high	fort negates; see text	NO	 Sor/Wiz 3	Stinking cloud creates a bank of fog like that created by fog cloud, except that the vapors are nauseating. Living creatures in the cloud become nauseated. This condition lasts as long as the creature is in the cloud and for 1d4+1 rounds after it leaves. (Roll separately for each nauseated character.) Any creature that succeeds on its save but remains in the cloud must continue to save each round on your turn.@mynl@Stinking cloud can be made permanent with a permanency spell. A permanent stinking cloud dispersed by wind reforms in 10 minutes.@mynl@Material Component: A rotten egg or several skunk cabbage leaves.	true	Nauseating vapors, 1 round/level.
tran	Stone Shape	1 Standa Round action	touch	V,S,M/DF	instant	stone or stone objects touched, up to 10 cu. ft + 1 cu. ft/level	---	NO	 Clr 3 Drd 3 Sor/Wiz 4	You can form an existing piece of stone into any shape that suits your purpose. While it's possible to make crude coffers, doors, and so forth with stone shape, fine detail isn't possible. There is a 30% chance that any shape including moving parts simply doesn't work.@mynl@Arcane Material Component: Soft clay, which must be worked into roughly the desired shape of the stone object and then touched to the stone while the verbal component is uttered.	true	Sculpts stone into any shape.
div	Stone Tell	10min	personal	V,S,DF	1 min/lvl	you			 Drd 6	You gain the ability to speak with stones, which relate to you who or what has touched them as well as revealing what is covered or concealed behind or under them. The stones relate complete descriptions if asked. A stone's perspective, perception, and knowledge may prevent the stone from providing the details you are looking for.@mynl@You can speak with natural or worked stone.	true	Talk to natural or worked stone.
tran	Stone to Flesh	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S,M	instant	one petrified creature or a cylinder of stone from 1 ft to 3 ft in diameter and up to 10 ft long	fort negates (objects); see text	Yes	 Sor/Wiz 6	This spell restores a petrified creature to its normal state, restoring life and goods. The creature must make a DC 15 Fortitude save to survive the process. Any petrified creature, regardless of size, can be restored.@mynl@The spell also can convert a mass of stone into a fleshy substance. Such flesh is inert and lacking a vital life force unless a life force or magical energy is available. (For example, this spell would turn a stone golem into a flesh golem, but an ordinary statue would become a corpse.) You can affect an object that fits within a cylinder from 1 foot to 3 feet in diameter and up to 10 feet long or a cylinder of up to those dimensions in a larger mass of stone.@mynl@Material Component: A pinch of earth and a drop of blood.	true	Restores petrified creature.
abj	Stoneskin	1 Standa Round action	touch	V,S,M	10 min/lvl or until dis	creature touched	will negates (h/l)	Yes, Harmless	 Drd 5 Sor/Wiz 4	The warded creature gains resistance to blows, cuts, stabs, and slashes. The subject gains damage reduction 10/adamantine. (It ignores the first 10 points of damage each time it takes damage from a weapon, though an adamantine weapon bypasses the reduction.) Once the spell has prevented a total of 10 points of damage per caster level (maximum 150 points), it is discharged.@mynl@Material Component: Granite and 250 gp worth of diamond dust sprinkled on the target's skin.	true	Ignore 10 points of damage per attack.
con	Storm of Vengeance	1 Round	Long (400 ft. + 40 ft./level)	V,S	(c) (maximum 10  Rounds) (d)	360-ft-radius storm cloud	see text	Yes	 Clr 9 Drd 9	This spell creates an enormous black storm cloud. Lightning and crashing claps of thunder appear within the storm. Each creature beneath the cloud must succeed on a Fortitude save or be deafened for 1d4x10 minutes.@mynl@If you do not maintain concentration on the spell after casting it, the spell ends. If you continue to concentrate, the spell generates additional effects in each following round, as noted below. Each effect occurs during your turn.@mynl@2nd Round: Acid rains down in the area, dealing 1d6 points of acid damage (no save).@mynl@3rd Round: You call six bolts of lightning down from the cloud. You decide where the bolts strike. No two bolts may be directed at the same target. Each bolt deals 10d6 points of electricity damage. A creature struck can attempt a Reflex save for half damage.@mynl@4th Round: Hailstones rain down in the area, dealing 5d6 points of bludgeoning damage (no save).@mynl@5th through 10th Rounds: Violent rain and wind gusts reduce visibility. The rain obscures all sight, including darkvision, beyond 5 feet. A creature 5 feet away has concealment (attacks have a 20% miss chance). Creatures farther away have total concealment (50% miss chance, and the attacker cannot use sight to locate the target). Speed is reduced by three-quarters.@mynl@Ranged attacks within the area of the storm are impossible. Spells cast within the area are disrupted unless the caster succeeds on a Concentration check against a DC equal to the storm of vengeance's save DC + the level of the spell the caster is trying to cast.	true	Storm rains acid, lightning, and hail.
ench	Suggestion	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,M	1 hr/lvl or until completed	one living creature	will negates	Yes	Brd 2 Sor/Wiz 3	You influence the actions of the target creature by suggesting a course of activity (limited to a sentence or two). The suggestion must be worded in such a manner as to make the activity sound reasonable. Asking the creature to do some obviously harmful act automatically negates the effect of the spell.@mynl@The suggested course of activity can continue for the entire duration. If the suggested activity can be completed in a shorter time, the spell ends when the subject finishes what it was asked to do. You can instead specify conditions that will trigger a special activity during the duration. If the condition is not met before the spell duration expires, the activity is not performed.@mynl@A very reasonable suggestion causes the save to be made with a penalty (such as -1 or -2).@mynl@Material Component: A snake's tongue and either a bit of honeycomb or a drop of sweet oil.	true	Compels subject to follow stated course of action.
ench	Suggestion, Mass	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,M	1 hr/lvl or until completed	one creature/level, no two of which can be more than 30 ft apart	will negates	Yes	Brd 5 Sor/Wiz 6	This spell functions like suggestion, except that it can affect more creatures. The same suggestion applies to all these creatures.	true	As suggestion, plus one subject/level.
con	Summon Instrument	1 Round	0 ft	V,S	1 min/lvl (d)	one summoned handheld musical instrument	---	NO	Brd 0	This spell summons one handheld musical instrument of your choice. This instrument appears in your hands or at your feet (your choice). The instrument is typical for its type. Only one instrument appears per casting, and it will play only for you. You can't summon an instrument too large to be held in two hands.	true	Summons one instrument of the casters choice.
con	Summon Monster I	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S,F/DF	1  Round/lvl (d)	one summoned creature	---	NO	Brd 1 Clr 1 Sor/Wiz 1	This spell summons an extraplanar creature (typically an outsider, elemental, or magical beast native to another plane). It appears where you designate and acts immediately, on your turn. It attacks your opponents to the best of its ability. If you can communicate with the creature, you can direct it not to attack, to attack particular enemies, or to perform other actions.@mynl@The spell conjures one of the creatures from the 1st-level list on the accompanying Summon Monster table. You choose which kind of creature to summon, and you can change that choice each time you cast the spell.@mynl@A summoned monster cannot summon or otherwise conjure another creature, nor can it use any teleportation or planar travel abilities. Creatures cannot be summoned into an environment that cannot support them.@mynl@When you use a summoning spell to summon an air, chaotic, earth, evil, fire, good, lawful, or water creature, it is a spell of that type.@mynl@Arcane Focus: A tiny bag and a small (not necessarily lit) candle.@mynl@1st Level -@mynl@Celestial dog - LG@mynl@Celestial owl - LG@mynl@Celestial giant fire beetle - NG@mynl@Celestial porpoise*- NG@mynl@Celestial badger - CG@mynl@Celestial monkey - CG@mynl@Fiendish dire rat - LE@mynl@Fiendish raven - LE@mynl@Fiendish monstrous centipede, Medium - NE@mynl@Fiendish monstrous scorpion, Small - NE@mynl@Fiendish hawk - CE@mynl@Fiendish monstrous spider, Small - CE@mynl@Fiendish octopus* - CE@mynl@Fiendish snake, Small viper - CE@mynl@* May be summoned only into an aquatic or watery environment.	true	Calls extraplanar creature to fight for you.
con	Summon Monster II	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S,F/DF	1  Round/lvl (d)	one or more summoned creatures, no two of which can be more than 30 ft apart	---	NO	Brd 2 Clr 2 Sor/Wiz 2	This spell functions like summon monster I, except that you can summon one creature from the 2nd-level list or 1d3 creatures of the same kind from the 1st-level list.@mynl@2nd Level -@mynl@Celestial giant bee - LG@mynl@Celestial giant bombardier beetle - NG@mynl@Celestial riding dog - NG@mynl@Celestial eagle - CG@mynl@Lemure (devil) - LE@mynl@Fiendish squid * - LE@mynl@Fiendish wolf - LE@mynl@Fiendish monstrous centipede, Large - NE@mynl@Fiendish monstrous scorpion, Medium - NE@mynl@Fiendish shark, Medium * - NE@mynl@Fiendish monstrous spider, Medium - CE@mynl@Fiendish snake, Medium viper - CE@mynl@* May be summoned only into an aquatic or watery environment.	true	Calls extraplanar creature to fight for you.
con	Summon Monster III	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S,F/DF	1  Round/lvl (d)	one or more summoned creatures, no two of which can be more than 30 ft apart	---	NO	Brd 3 Clr 3 Sor/Wiz 3	This spell functions like summon monster I, except that you can summon one creature from the 3rd-level list, 1d3 creatures of the same kind from the 2nd-level list, or 1d4+1 creatures of the same kind from the 1st-level list.@mynl@3rd Level -@mynl@Celestial black bear - LG@mynl@Celestial bison - NG@mynl@Celestial dire badger - CG@mynl@Celestial hippogriff - CG@mynl@Elemental, Small (any) - N@mynl@Fiendish ape - LE@mynl@Fiendish dire weasel - LE@mynl@Hell hound - LE@mynl@Fiendish snake, constrictor - LE@mynl@Fiendish boar - NE@mynl@Fiendish dire bat - NE@mynl@Fiendish monstrous centipede, Huge - NE@mynl@Fiendish crocodile - CE@mynl@Dretch (demon) - CE@mynl@Fiendish snake, Large viper - CE@mynl@Fiendish wolverine - CE	true	Calls extraplanar creature to fight for you.
con	Summon Monster IV	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S,F/DF	1  Round/lvl (d)	one or more summoned creatures, no two of which can be more than 30 ft apart	---	NO	Brd 4 Clr 4 Sor/Wiz 4	This spell functions like summon monster I, except that you can summon one creature from the 4th-level list, 1d3 creatures of the same kind from the 3rd-level list, or 1d4+1 creatures of the same kind from a lower-level list.@mynl@4th Level -@mynl@Archon, lantern - LG@mynl@Celestial giant owl - LG@mynl@Celestial giant eagle - CG@mynl@Celestial lion - CG@mynl@Mephit (any) - N@mynl@Fiendish dire wolf - LE@mynl@Fiendish giant wasp - LE@mynl@Fiendish giant praying mantis - NE@mynl@Fiendish shark, Large * - NE@mynl@Yeth hound - NE@mynl@Fiendish monstrous spider, Large - CE@mynl@Fiendish snake, Huge viper - CE@mynl@Howler - CE@mynl@* May be summoned only into an aquatic or watery environment.	true	Calls extraplanar creature to fight for you.
con	Summon Monster IX	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S,F/DF	1  Round/lvl (d)	one or more summoned creatures, no two of which can be more than 30 ft apart	---	NO	 Clr 9 Sor/Wiz 9	This spell functions like summon monster I, except that you can summon one creature from the 9th-level list, 1d3 creatures of the same kind from the 8th-level list, or 1d4+1 creatures of the same kind from a lower-level list.@mynl@9th Level -@mynl@Couatl - LG@mynl@Leonal (guardinal) - NG@mynl@Celestial roc - CG@mynl@Elemental, elder (any) - N@mynl@Devil, barbed - LE@mynl@Fiendish dire shark * - NE@mynl@Fiendish monstrous scorpion, Gargantuan - NE@mynl@Night hag - NE@mynl@Bebilith (demon) - CE@mynl@Fiendish monstrous spider, Colossal - CE@mynl@Hezrou (demon) - CE@mynl@* May be summoned only into an aquatic or watery environment.	true	Calls extraplanar creature to fight for you.
con	Summon Monster V	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S,F/DF	1  Round/lvl (d)	one or more summoned creatures, no two of which can be more than 30 ft apart	---	NO	Brd 5 Clr 5 Sor/Wiz 5	This spell functions like summon monster I, except that you can summon one creature from the 5th-level list, 1d3 creatures of the same kind from the 4th-level list, or 1d4+1 creatures of the same kind from a lower-level list.@mynl@5th Level -@mynl@Archon, hound - LG@mynl@Celestial brown bear - LG@mynl@Celestial giant stag beetle - NG@mynl@Celestial sea cat * - NG@mynl@Celestial griffon - CG@mynl@Elemental, Medium (any) - N@mynl@Achaierai - LE@mynl@Devil, bearded - LE@mynl@Fiendish deinonychus - LE@mynl@Fiendish dire ape - LE@mynl@Fiendish dire boar - NE@mynl@Fiendish shark, Huge - NE@mynl@Fiendish monstrous scorpion, Large - NE@mynl@Shadow mastiff - NE@mynl@Fiendish dire wolverine - CE@mynl@Fiendish giant crocodile - CE@mynl@Fiendish tiger - CE@mynl@* May be summoned only into an aquatic or watery environment.	true	Calls extraplanar creature to fight for you.
con	Summon Monster VI	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S,F/DF	1  Round/lvl (d)	one or more summoned creatures, no two of which can be more than 30 ft apart	---	NO	Brd 6 Clr 6 Sor/Wiz 6	This spell functions like summon monster I, except you can summon one creature from the 6th-level list, 1d3 creatures of the same kind from the 5th-level list, or 1d4+1 creatures of the same kind from a lower-level list.@mynl@6th Level -@mynl@Celestial polar bear - LG@mynl@Celestial orca whale * - NG@mynl@Bralani (eladrin) - CG@mynl@Celestial dire lion - CG@mynl@Elemental, Large (any) - N@mynl@Janni (genie) - N@mynl@Chaos beast - CN@mynl@Devil, chain - LE@mynl@Xill - LE@mynl@Fiendish monstrous centipede, Gargantuan - NE@mynl@Fiendish rhinoceros - NE@mynl@Fiendish elasmosaurus * - CE@mynl@Fiendish monstrous spider, Huge - CE@mynl@Fiendish snake, giant constrictor - CE@mynl@* May be summoned only into an aquatic or watery environment.	true	Calls extraplanar creature to fight for you.
con	Summon Monster VII	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S,F/DF	1  Round/lvl (d)	one or more summoned creatures, no two of which can be more than 30 ft apart	---	NO	 Clr 7 Sor/Wiz 7	This spell functions like summon monster I, except that you can summon one creature from the 7th-level list, 1d3 creatures of the same kind from the 6th-level list, or 1d4+1 creatures of the same kind from a lower-level list.@mynl@7th Level -@mynl@Celestial elephant - LG@mynl@Avoral (guardinal) - NG@mynl@Celestial baleen whale * - NG@mynl@Djinni (genie) - CG@mynl@Elemental, Huge (any) - N@mynl@Invisible stalker - N@mynl@Devil, bone - LE@mynl@Fiendish megaraptor - LE@mynl@Fiendish monstrous scorpion, Huge - NE@mynl@Babau (demon) - CE@mynl@Fiendish giant octopus * - CE@mynl@Fiendish girallon - CE@mynl@* May be summoned only into an aquatic or watery environment.	true	Calls extraplanar creature to fight for you.
con	Summon Monster VIII	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S,F/DF	1  Round/lvl (d)	one or more summoned creatures, no two of which can be more than 30 ft apart	---	NO	 Clr 8 Sor/Wiz 8	This spell functions like summon monster I, except that you can summon one creature from the 8th-level list, 1d3 creatures of the same kind from the 7th-level list, or 1d4+1 creatures of the same kind from a lower-level list.@mynl@8th Level -@mynl@Celestial dire bear - LG@mynl@Celestial cachalot whale *- NG@mynl@Celestial triceratops - NG@mynl@Lillend - CG@mynl@Elemental, greater (any) - N@mynl@Fiendish giant squid *- LE@mynl@Hellcat - LE@mynl@Fiendish monstrous centipede, Colossal - NE@mynl@Fiendish dire tiger - CE@mynl@Fiendish monstrous spider, Gargantuan - CE@mynl@Fiendish tyrannosaurus - CE@mynl@Vrock (demon) - CE@mynl@* May be summoned only into an aquatic or watery environment.	true	Calls extraplanar creature to fight for you.
con	Summon Swarm	1 Round	Close (25 ft. + 5 ft./2 levels)	V,S,M/DF	(c) + 2  Rounds	one swarm of bats, rats, or spiders	---	NO	Brd 2 Drd 2 Sor/Wiz 2	You summon a swarm of bats, rats, or spiders (your choice), which attacks all other creatures within its area. (You may summon the swarm so that it shares the area of other creatures.) If no living creatures are within its area, the swarm attacks or pursues the nearest creature as best it can. The caster has no control over its target or direction of travel.@mynl@Arcane Material Component: A square of red cloth.	true	Summons swarm of bats, rats, or spiders.
evo	Sunbeam	1 Standa Round action	60 ft	V,S,DF	1  Round/lvl or until all beams are exhausted	line from your hand	Reflex negates & Reflex ½; see text	Yes	 Drd 7	For the duration of this spell, you can use a standard action to evoke a dazzling beam of intense light each round. You can call forth one beam per three caster levels (maximum six beams at 18th level). The spell ends when its duration runs out or your allotment of beams is exhausted.@mynl@Each creature in the beam is blinded and takes 4d6 points of damage. Any creatures to which sunlight is harmful or unnatural take double damage. A successful Reflex save negates the blindness and reduces the damage by half.@mynl@An undead creature caught within the beam takes 1d6 points of damage per caster level (maximum 20d6), or half damage if a Reflex save is successful. In addition, the beam results in the destruction of any undead creature specifically harmed by bright light if it fails its save.@mynl@The ultraviolet light generated by the spell deals damage to fungi, mold, oozes, and slimes just as if they were undead creatures.	true	Beam blinds and deals 4d6 damage.
evo	Sunburst	1 Standa Round action	Long (400 ft. + 40 ft./level)	V,S,M/DF	instant	80-ft-radius burst	Reflex part; see text	Yes	 Drd 8 Sor/Wiz 8	Sunburst causes a globe of searing radiance to explode silently from a point you select. All creatures in the globe are blinded and take 6d6 points of damage. A creature to which sunlight is harmful or unnatural takes double damage. A successful Reflex save negates the blindness and reduces the damage by half.@mynl@An undead creature caught within the globe takes 1d6 points of damage per caster level (maximum 25d6), or half damage if a Reflex save is successful. In addition, the burst results in the destruction of any undead creature specifically harmed by bright light if it fail its save.@mynl@The ultraviolet light generated by the spell deals damage to fungi, mold, oozes, and slimes just as if they were undead creatures.@mynl@Sunburst dispels any darkness spells of lower than 9th level within its area.@mynl@Arcane Material Component: A piece of sunstone and a naked flame.	true	Blinds all within 10 ft., deals 6d6 damage.
abj	Surelife	1 Round	personal	V,S,M	1 min/lvl	you				This spell allows the caster to protect him or herself against some condition that would ordinarily cause certain death.	true	Protects you from one kind of certain death.
nec	Symbol of Death	10min	0 ft; see text	V,S,M	see text	one symbol	fort negates	Yes	 Clr 8 Sor/Wiz 8	This spell allows you to scribe a potent rune of power upon a surface. When triggered, a symbol of death slays one or more creatures within 60 feet of the symbol (treat as a burst) whose combined total current hit points do not exceed 150. The symbol of death affects the closest creatures first, skipping creatures with too many hit points to affect. Once triggered, the symbol becomes active and glows, lasting for 10 minutes per caster level or until it has affected 150 hit points' worth of creatures, whichever comes first. Any creature that enters the area while the symbol of death is active is subject to its effect, whether or not that creature was in the area when it was triggered. A creature need save against the symbol only once as long as it remains within the area, though if it leaves the area and returns while the symbol is still active, it must save again.@mynl@Until it is triggered, the symbol of death is inactive (though visible and legible at a distance of 60 feet). To be effective, a symbol of death must always be placed in plain sight and in a prominent location. Covering or hiding the rune renders the symbol of death ineffective, unless a creature removes the covering, in which case the symbol of death works normally.@mynl@As a default, a symbol of death is triggered whenever a creature does one or more of the following, as you select: looks at the rune; reads the rune; touches the rune; passes over the rune; or passes through a portal bearing the rune. Regardless of the trigger method or methods chosen, a creature more than 60 feet from a symbol of death can't trigger it (even if it meets one or more of the triggering conditions, such as reading the rune). Once the spell is cast, a symbol of death's triggering conditions cannot be changed.@mynl@In this case, "reading" the rune means any attempt to study it, identify it, or fathom its meaning. Throwing a cover over a symbol of death to render it inoperative triggers it if the symbol reacts to touch. You can't use a symbol of death offensively; for instance, a touch-triggered symbol of death remains untriggered if an item bearing the symbol of death is used to touch a creature. Likewise, a symbol of death cannot be placed on a weapon and set to activate when the weapon strikes a foe.@mynl@You can also set special triggering limitations of your own. These can be as simple or elaborate as you desire. Special conditions for triggering a symbol of death can be based on a creature's name, identity, or alignment, but otherwise must be based on observable actions or qualities. Intangibles such as level, class, Hit Dice, and hit points don't qualify.@mynl@When scribing a symbol of death, you can specify a password or phrase that prevents a creature using it from triggering the effect. Anyone using the password remains immune to that particular rune's effects so long as the creature remains within 60 feet of the rune. If the creature leaves the radius and returns later, it must use the password again.@mynl@You also can attune any number of creatures to the symbol of death, but doing this can extend the casting time. Attuning one or two creatures takes negligible time, and attuning a small group (as many as ten creatures) extends the casting time to 1 hour. Attuning a large group (as many as twenty-five creatures) takes 24 hours. Attuning larger groups takes proportionately longer. Any creature attuned to a symbol of death cannot trigger it and is immune to its effects, even if within its radius when triggered. You are automatically considered attuned to your own symbols of death, and thus always ignore the effects and cannot inadvertently trigger them.@mynl@Read magic allows you to identify a symbol of death with a DC 19 Spellcraft check. Of course, if the symbol of death is set to be triggered by reading it, this will trigger the symbol.@mynl@A symbol of death can be removed by a successful dispel magic targeted solely on the rune. An erase spell has no effect on a symbol of death. Destruction of the surface where a symbol of death is inscribed destroys the symbol but also triggers it.@mynl@Symbol of death can be made permanent with a permanency spell. A permanent symbol of death that is disabled or that has affected its maximum number of hit points becomes inactive for 10 minutes, then can be triggered again as normal.@mynl@Note: Magic traps such as symbol of death are hard to detect and disable. A rogue (only) can use the Search skill to find a symbol of death and Disable Device to thwart it. The DC in each case is 25 + spell level, or 33 for symbol of death.@mynl@Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 5,000 gp each.	true	Triggered rune slays nearby creatures.
nec	Symbol of Fear	10min	0 ft; see text	V,S,M	see text	one symbol	will negates	Yes	 Clr 6 Sor/Wiz 6	This spell functions like symbol of death, except that all creatures within 60 feet of the symbol of fear instead become panicked for 1 round per caster level.@mynl@Note: Magic traps such as symbol of fear are hard to detect and disable. A rogue (only) can use the Search skill to find a symbol of fear and Disable Device to thwart it. The DC in each case is 25 + spell level, or 31 for symbol of fear.@mynl@Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 1,000 gp.	true	Triggered rune panics nearby creatures.
ench	Symbol of Insanity	10min	0 ft; see text	V,S,M	see text	one symbol	will negates	Yes	 Clr 8 Sor/Wiz 8	This spell functions like symbol of death, except that all creatures within the radius of the symbol of insanity instead become permanently insane (as the insanity spell).@mynl@Unlike symbol of death, symbol of insanity has no hit point limit; once triggered, a symbol of insanity simply remains active for 10 minutes per caster level.@mynl@Note: Magic traps such as symbol of insanity are hard to detect and disable. A rogue (only) can use the Search skill to find a symbol of insanity and Disable Device to thwart it. The DC in each case is 25 + spell level, or 33 for symbol of insanity.@mynl@Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 5,000 gp.	true	Triggered rune renders nearby creatures insane.
nec	Symbol of Pain	10min	0 ft; see text	V,S,M	see text	one symbol	fort negates	Yes	 Clr 5 Sor/Wiz 5	This spell functions like symbol of death, except that each creature within the radius of a symbol of pain instead suffers wracking pains that impose a -4 penalty on attack rolls, skill checks, and ability checks. These effects last for 1 hour after the creature moves farther than 60 feet from the symbol.@mynl@Unlike symbol of death, symbol of pain has no hit point limit; once triggered, a symbol of pain simply remains active for 10 minutes per caster level.@mynl@Note: Magic traps such as symbol of pain are hard to detect and disable. A rogue (only) can use the Search skill to find a symbol of pain and Disable Device to thwart it. The DC in each case is 25 + spell level, or 30 for symbol of pain.@mynl@Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 1,000 gp.	true	Triggered rune wracks nearby creatures with pain.
ench	Symbol of Persuasion	10min	0 ft; see text	V,S,M	see text	one symbol	will negates	Yes	 Clr 6 Sor/Wiz 6	This spell functions like symbol of death, except that all creatures within the radius of a symbol of persuasion instead become charmed by the caster (as the charm monster spell) for 1 hour per caster level.@mynl@Unlike symbol of death, symbol of persuasion has no hit point limit; once triggered, a symbol of persuasion simply remains active for 10 minutes per caster level.@mynl@Note: Magic traps such as symbol of persuasion are hard to detect and disable. A rogue (only) can use the Search skill to find a symbol of persuasion and Disable Device to thwart it. The DC in each case is 25 + spell level, or 31 for symbol of persuasion.@mynl@Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 5,000 gp.	true	Triggered rune acts as charm monster on nearby creatures.
ench	Symbol of Sleep	10min	0 ft; see text	V,S,M	see text	one symbol	will negates	Yes	 Clr 5 Sor/Wiz 5	This spell functions like symbol of death, except that all creatures of 10 HD or less within 60 feet of the symbol of sleep instead fall into a catatonic slumber for 3d6x10 minutes. Unlike with the sleep spell, sleeping creatures cannot be awakened by nonmagical means before this time expires.@mynl@Unlike symbol of death, symbol of sleep has no hit point limit; once triggered, a symbol of sleep simply remains active for 10 minutes per caster level.@mynl@Note: Magic traps such as symbol of sleep are hard to detect and disable. A rogue (only) can use the Search skill to find a symbol of sleep and Disable Device to thwart it. The DC in each case is 25 + spell level, or 30 for symbol of sleep.@mynl@Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 1,000 gp.	true	Triggered rune puts nearby creatures into catatonic slumber.
ench	Symbol of Stunning	10min	0 ft; see text	V,S,M	see text	one symbol	will negates	Yes	 Clr 7 Sor/Wiz 7	This spell functions like symbol of death, except that all creatures within 60 feet of a symbol of stunning instead become stunned for 1d6 rounds.@mynl@Note: Magic traps such as symbol of stunning are hard to detect and disable. A rogue (only) can use the Search skill to find a symbol of stunning and Disable Device to thwart it. The DC in each case is 25 + spell level, or 32 for symbol of stunning.@mynl@Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 5,000 gp.	true	Triggered rune stuns nearby creatures.
nec	Symbol of Weakness	10min	0 ft; see text	V,S,M	see text	one symbol	fort negates	Yes	 Clr 7 Sor/Wiz 7	This spell functions like symbol of death, except that every creature within 60 feet of a symbol of weakness instead suffers crippling weakness that deals 3d6 points of Strength damage.@mynl@Unlike symbol of death, symbol of weakness has no hit point limit; once triggered, a symbol of weakness simply remains active for 10 minutes per caster level.@mynl@Note: Magic traps such as symbol of weakness are hard to detect and disable. A rogue (only) can use the Search skill to find a symbol of weakness and Disable Device to thwart it. The DC in each case is 25 + spell level, or 32 for symbol of weakness.@mynl@Material Component: Mercury and phosphorus, plus powdered diamond and opal with a total value of at least 5,000 gp.	true	Triggered rune weakens nearby creatures.
evo	Sympathetic Vibration	10min	touch	V,S,F	up to 1  Round/lvl	one freestanding structure	---; see text	Yes	Brd 6	By attuning yourself to a freestanding structure such you can create a damaging vibration within it. Once it begins, the vibration deals 2d10 points of damage per round to the target structure. (Hardness has no effect on the spell's damage.) You can choose at the time of casting to limit the duration of the spell; otherwise it lasts for 1 round/ level. If the spell is cast upon a target that is not freestanding the surrounding stone dissipates the effect and no damage occurs.@mynl@Sympathetic vibration cannot affect creatures (including constructs). Since a structure is an unattended object, it gets no saving throw to resist the effect.@mynl@Focus: A tuning fork.	true	Deals 2d10 damage/round to freestanding structure.
ench	Sympathy	1hr	Close (25 ft. + 5 ft./2 levels)	V,S,M	2 hrs/lvl (d)	one location (up to a 10-ft cube/level) or one objects	will negates; see text	Yes	 Drd 9 Sor/Wiz 8	You cause an object or location to emanate magical vibrations that attract either a specific kind of intelligent creature or creatures of a particular alignment, as defined by you. The particular kind of creature to be affected must be named specifically. A creature subtype is not specific enough. Likewise, the specific alignment must be named.@mynl@Creatures of the specified kind or alignment feel elated and pleased to be in the area or desire to touch or to possess the object. The compulsion to stay in the area or touch the object is overpowering. If the save is successful, the creature is released from the enchantment, but a subsequent save must be made 1d6x10 minutes later. If this save fails, the affected creature attempts to return to the area or object.@mynl@Sympathy counters and dispels antipathy.@mynl@Material Component: 1,500 gp worth of crushed pearls and a drop of honey.@mynl@	true	Object or location attracts certain creatures.
